Date,Name,Year,Letterboxd URI,Rating
2018-02-16,Spider-Man: Homecoming,2017,https://boxd.it/aboM,3
2018-02-26,The World's End,2013,https://boxd.it/3EiO,4
2018-02-26,Mr. Nobody,2009,https://boxd.it/1k44,4.5
2018-02-27,Black Panther,2018,https://boxd.it/8MHs,3.5
2018-02-28,Annihilation,2018,https://boxd.it/9yzm,3
2018-03-04,It Comes at Night,2017,https://boxd.it/eLuk,3.5
2018-03-04,Dunkirk,2017,https://boxd.it/d0Y6,4
2018-03-05,Full Metal Jacket,1987,https://boxd.it/2a1Q,4
2018-03-10,Game Night,2018,https://boxd.it/fRtu,3
2018-03-18,Frances Ha,2012,https://boxd.it/41Xg,4
2018-03-25,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,5
2018-03-27,The Place Beyond the Pines,2012,https://boxd.it/3mDu,4
2018-03-29,Ready Player One,2018,https://boxd.it/aZes,2.5
2018-04-06,A Quiet Place,2018,https://boxd.it/fVJQ,3
2018-04-13,The Death of Stalin,2017,https://boxd.it/ea9Y,3.5
2018-04-14,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4.5
2018-04-27,Avengers: Infinity War,2018,https://boxd.it/9vEe,3.5
2018-04-28,Justice League,2017,https://boxd.it/4w68,2
2018-04-30,Se7en,1995,https://boxd.it/29zs,4.5
2018-05-03,The Disaster Artist,2017,https://boxd.it/cTqc,3
2018-05-04,Tully,2018,https://boxd.it/e4kc,3.5
2018-05-07,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,3.5
2018-05-10,Fruitvale Station,2013,https://boxd.it/4VRy,4
2018-05-11,Paths of Glory,1957,https://boxd.it/29b6,5
2018-05-14,There Will Be Blood,2007,https://boxd.it/20Z2,5
2018-05-19,Deadpool,2016,https://boxd.it/9fOC,3
2018-05-19,Deadpool 2,2018,https://boxd.it/dlLM,3
2018-05-23,Fargo,1996,https://boxd.it/2aHM,4
2018-05-27,Napoleon Dynamite,2004,https://boxd.it/20wu,3.5
2018-05-27,Wayne's World,1992,https://boxd.it/1ZHG,3
2018-05-27,Night at the Museum,2006,https://boxd.it/28wi,2.5
2018-05-27,The Hangover,2009,https://boxd.it/1GjK,3
2018-05-28,Solo: A Star Wars Story,2018,https://boxd.it/bGWs,3
2018-06-08,A Serious Man,2009,https://boxd.it/1RFW,4
2018-06-11,Room,2015,https://boxd.it/7T0y,4
2018-06-12,Red Sparrow,2018,https://boxd.it/e7Pi,2.5
2018-06-14,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,4
2018-06-28,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU,2
2018-06-29,Sicario,2015,https://boxd.it/8i7u,4
2018-07-01,Eyes Wide Shut,1999,https://boxd.it/2axs,4.5
2018-07-01,Sicario: Day of the Soldado,2018,https://boxd.it/e4fG,2.5
2018-07-03,Heaven Knows What,2014,https://boxd.it/8P1a,3.5
2018-07-04,Last Flag Flying,2017,https://boxd.it/ePAG,3.5
2018-07-07,Bruce Almighty,2003,https://boxd.it/2aCC,3
2018-07-10,Yellow Submarine,1968,https://boxd.it/1Sxa,2.5
2018-07-11,The Rider,2017,https://boxd.it/gazw,3.5
2018-07-11,Ant-Man,2015,https://boxd.it/3vmW,3.5
2018-07-13,Mission: Impossible,1996,https://boxd.it/29d2,3
2018-07-14,Sorry to Bother You,2018,https://boxd.it/f21E,3.5
2018-07-15,Lethal Weapon,1987,https://boxd.it/29e0,3.5
2018-07-15,Mission: Impossible II,2000,https://boxd.it/29cS,2.5
2018-07-16,Barry Lyndon,1975,https://boxd.it/25A2,4.5
2018-07-17,Paddington 2,2017,https://boxd.it/bCF8,4
2018-07-18,Hereditary,2018,https://boxd.it/hNVe,4.5
2018-07-18,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,3.5
2018-07-18,Zootopia,2016,https://boxd.it/84xS,3.5
2018-07-18,Moana,2016,https://boxd.it/8tfY,3.5
2018-07-18,Groundhog Day,1993,https://boxd.it/2b3e,3.5
2018-07-18,Edward Scissorhands,1990,https://boxd.it/2aZc,3.5
2018-07-18,A Bug's Life,1998,https://boxd.it/1Yyy,3
2018-07-18,Bernie,2011,https://boxd.it/3eWe,3.5
2018-07-18,Insidious: Chapter 2,2013,https://boxd.it/3dqc,3
2018-07-18,Mindwalk,1990,https://boxd.it/HJi,3
2018-07-18,Kingsman: The Golden Circle,2017,https://boxd.it/buJm,2.5
2018-07-18,Hidden Figures,2016,https://boxd.it/dgS4,3
2018-07-18,Kung Fu Panda,2008,https://boxd.it/1Yws,3
2018-07-18,Insidious,2010,https://boxd.it/H4k,3
2018-07-18,Anchorman 2: The Legend Continues,2013,https://boxd.it/3GNk,3
2018-07-18,Allied,2016,https://boxd.it/cP42,3
2018-07-18,The Wall,2017,https://boxd.it/eh1s,3
2018-07-18,Fantastic Beasts and Where to Find Them,2016,https://boxd.it/7FPC,2.5
2018-07-18,Up,2009,https://boxd.it/1OEc,3.5
2018-07-18,Under the Skin,2013,https://boxd.it/3mDa,3.5
2018-07-18,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,3
2018-07-18,Dawn of the Planet of the Apes,2014,https://boxd.it/3XyQ,3.5
2018-07-18,Beetlejuice,1988,https://boxd.it/24QI,3.5
2018-07-18,Sweeney Todd: The Demon Barber of Fleet Street,2007,https://boxd.it/1PcS,3.5
2018-07-18,Pee-wee's Big Adventure,1985,https://boxd.it/22Lw,3.5
2018-07-18,Café Society,2016,https://boxd.it/bhEy,3.5
2018-07-18,The Founder,2016,https://boxd.it/9XwM,3.5
2018-07-18,The Bourne Supremacy,2004,https://boxd.it/26EE,3.5
2018-07-18,The Bourne Ultimatum,2007,https://boxd.it/26Eu,3.5
2018-07-18,The Bourne Identity,2002,https://boxd.it/26EO,3
2018-07-18,Finding Dory,2016,https://boxd.it/4aAA,2.5
2018-07-18,The Da Vinci Code,2006,https://boxd.it/2a3i,2.5
2018-07-18,The Belko Experiment,2016,https://boxd.it/blCw,2.5
2018-07-18,Damsel,2018,https://boxd.it/eBqs,3
2018-07-20,Coco,2017,https://boxd.it/bYJQ,3
2018-07-20,Incredibles 2,2018,https://boxd.it/7IPg,3.5
2018-07-20,Isle of Dogs,2018,https://boxd.it/dZrW,3.5
2018-07-20,Suicide Squad,2016,https://boxd.it/9row,1.5
2018-07-20,Central Intelligence,2016,https://boxd.it/9DFE,2
2018-07-20,Flubber,1997,https://boxd.it/1YkQ,2
2018-07-20,Beauty and the Beast,2017,https://boxd.it/ar0c,2.5
2018-07-20,Life,2017,https://boxd.it/dRqG,2
2018-07-20,The Shallows,2016,https://boxd.it/aXgQ,2
2018-07-20,What Dreams May Come,1998,https://boxd.it/1SoM,2.5
2018-07-20,Mission: Impossible III,2006,https://boxd.it/29cI,3.5
2018-07-21,Prisoners,2013,https://boxd.it/4E5i,4
2018-07-22,Lars and the Real Girl,2007,https://boxd.it/21tG,3.5
2018-07-23,Mission: Impossible - Ghost Protocol,2011,https://boxd.it/psI,3.5
2018-07-25,Mission: Impossible - Rogue Nation,2015,https://boxd.it/5rI4,3.5
2018-07-26,Won't You Be My Neighbor?,2018,https://boxd.it/hDPU,4
2018-07-26,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,3.5
2018-07-26,Kill Bill: Vol. 1,2003,https://boxd.it/70w,3.5
2018-07-27,Mission: Impossible - Fallout,2018,https://boxd.it/bSVc,4
2018-07-27,Thoroughbreds,2017,https://boxd.it/dVHQ,3
2018-07-29,Lean on Pete,2017,https://boxd.it/emgM,3.5
2018-07-30,The Witch,2015,https://boxd.it/9X0m,4
2018-07-31,Blindspotting,2018,https://boxd.it/hDMw,3.5
2018-08-03,The Umbrellas of Cherbourg,1964,https://boxd.it/22fK,5
2018-08-04,Eighth Grade,2018,https://boxd.it/hDMG,4
2018-08-05,You Were Never Really Here,2017,https://boxd.it/dWOS,4
2018-08-07,American Psycho,2000,https://boxd.it/28Vs,3.5
2018-08-11,Insomnia,2002,https://boxd.it/2aB0,3
2018-08-11,Half Nelson,2006,https://boxd.it/20Ng,2.5
2018-08-12,Saw,2004,https://boxd.it/2aWW,2.5
2018-08-12,The Beguiled,2017,https://boxd.it/dZ1k,4
2018-08-16,BlacKkKlansman,2018,https://boxd.it/hxL8,4
2018-08-17,"Don't Worry, He Won't Get Far on Foot",2018,https://boxd.it/fLeo,3.5
2018-08-30,Tusk,2014,https://boxd.it/7eoa,2
2018-08-30,Laura,1944,https://boxd.it/27Oq,3.5
2018-09-02,The Little Stranger,2018,https://boxd.it/gffG,2.5
2018-09-06,Life After Beth,2014,https://boxd.it/7bqM,2
2018-09-06,Bicycle Thieves,1948,https://boxd.it/23hW,5
2018-09-07,Searching,2018,https://boxd.it/hDPg,3.5
2018-09-13,Witness for the Prosecution,1957,https://boxd.it/18H4,3.5
2018-09-14,Mandy,2018,https://boxd.it/gtti,3
2018-09-27,Notorious,1946,https://boxd.it/2aDK,4
2018-10-08,Venom,2018,https://boxd.it/b8wA,1.5
2018-10-11,Singin' in the Rain,1952,https://boxd.it/29oY,5
2018-10-11,A Star Is Born,2018,https://boxd.it/aXgc,3
2018-10-13,First Man,2018,https://boxd.it/cPym,3
2018-10-16,Bad Times at the El Royale,2018,https://boxd.it/fSA2,3
2018-10-18,Do the Right Thing,1989,https://boxd.it/29gA,5
2018-10-28,mid90s,2018,https://boxd.it/fxIa,3
2018-10-29,First Reformed,2017,https://boxd.it/go9C,5
2018-10-30,The Spectacular Now,2013,https://boxd.it/4VSG,3
2018-10-30,Robin Williams: Come Inside My Mind,2018,https://boxd.it/hLSi,3.5
2018-10-31,The Old Man & the Gun,2018,https://boxd.it/fd1q,3.5
2018-11-01,20 Feet from Stardom,2013,https://boxd.it/4Yoa,3.5
2018-11-02,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,2.5
2018-11-07,Suspiria,2018,https://boxd.it/cioI,3.5
2018-11-07,Forrest Gump,1994,https://boxd.it/728,4
2018-11-08,High Noon,1952,https://boxd.it/2aGa,3.5
2018-11-09,Bohemian Rhapsody,2018,https://boxd.it/f1TK,2.5
2018-11-12,Beautiful Boy,2018,https://boxd.it/g76Q,2.5
2018-11-15,Alien,1979,https://boxd.it/2awY,4
2018-11-17,Boy Erased,2018,https://boxd.it/gWxe,3
2018-11-19,Overlord,2018,https://boxd.it/fAwm,2.5
2018-11-23,Widows,2018,https://boxd.it/e6gc,4
2018-12-07,Strange Days,1995,https://boxd.it/2aGO,2.5
2018-12-07,Creed II,2018,https://boxd.it/hgl8,3
2018-12-15,Gran Torino,2008,https://boxd.it/1Qzy,1.5
2018-12-16,Dirty Harry,1971,https://boxd.it/299E,3.5
2018-12-18,Little Miss Sunshine,2006,https://boxd.it/29EW,4
2018-12-19,The Princess Bride,1987,https://boxd.it/26EY,3.5
2018-12-21,Aquaman,2018,https://boxd.it/9ru0,2.5
2018-12-23,What We Do in the Shadows,2014,https://boxd.it/7eQy,4
2018-12-31,The Favourite,2018,https://boxd.it/d2hI,4.5
2018-12-31,The Lost City of Z,2016,https://boxd.it/a7jS,4
2019-01-01,Roma,2018,https://boxd.it/f69M,4.5
2019-01-02,Batman Begins,2005,https://boxd.it/2aIg,3.5
2019-01-04,The Dark Knight,2008,https://boxd.it/2b0k,4.5
2019-01-04,Wildlife,2018,https://boxd.it/eKYe,3.5
2019-01-09,Green Room,2015,https://boxd.it/a75m,3.5
2019-01-11,Ben Is Back,2018,https://boxd.it/hKfk,2.5
2019-01-14,Unbreakable,2000,https://boxd.it/1XV2,4.5
2019-01-16,Split,2016,https://boxd.it/dgSy,3
2019-01-16,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,4
2019-01-16,Pirates of the Caribbean: Dead Men Tell No Tales,2017,https://boxd.it/5a9m,2.5
2019-01-16,Ghost in the Shell,2017,https://boxd.it/abTA,3
2019-01-18,Glass,2019,https://boxd.it/g3uO,2.5
2019-01-28,A Simple Favor,2018,https://boxd.it/hq92,2
2019-02-05,Velvet Buzzsaw,2019,https://boxd.it/gAy0,1.5
2019-02-08,They Shall Not Grow Old,2018,https://boxd.it/jP62,4
2019-02-21,The Lego Movie 2: The Second Part,2019,https://boxd.it/8BAU,3
2019-02-21,The Ballad of Buster Scruggs,2018,https://boxd.it/jB2q,3.5
2019-02-24,Alita: Battle Angel,2019,https://boxd.it/e0rS,2.5
2019-02-26,How to Train Your Dragon: The Hidden World,2019,https://boxd.it/5a9w,3
2019-03-05,Climax,2018,https://boxd.it/ikvo,4
2019-03-08,Zodiac,2007,https://boxd.it/27MO,4.5
2019-03-10,Gloria Bell,2018,https://boxd.it/hIhI,3.5
2019-03-12,Captain Marvel,2019,https://boxd.it/9vSA,3
2019-03-13,Ex Machina,2014,https://boxd.it/7T2k,4.5
2019-03-20,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.5
2019-03-24,Shazam!,2019,https://boxd.it/8WBu,2.5
2019-04-10,Spring Breakers,2012,https://boxd.it/421s,3.5
