Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-05-22,Prometheus,2012,https://boxd.it/hncpB,3,,"home, streaming",2017-05-21
2017-05-31,The Witness,2015,https://boxd.it/hyiKH,,,,2017-05-24
2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,2017,https://boxd.it/hsezD,2.5,,"theatre, cobb",2017-05-25
2017-05-27,Get Out,2017,https://boxd.it/htmt1,4.5,Yes,"other, streaming",2017-05-26
2017-05-28,John Wick,2014,https://boxd.it/htFTn,4,,"other, streaming",2017-05-27
2017-05-29,La La Land,2016,https://boxd.it/hvE6t,5,Yes,"other, streaming",2017-05-28
2017-05-30,John Wick: Chapter 2,2017,https://boxd.it/hx6BL,4,,"home, streaming",2017-05-29
2017-05-31,Falling Leaves,1912,https://boxd.it/hycT9,,,,2017-05-30
2017-05-31,Watchmen,2009,https://boxd.it/hyye3,4,,"home, streaming",2017-05-30
2017-06-01,The General,1926,https://boxd.it/hz8WF,4.5,,"home, streaming",2017-05-31
2017-06-02,Wonder Woman,2017,https://boxd.it/hASUd,2.5,,"theatre, cobb",2017-06-01
2017-06-03,Rosencrantz & Guildenstern Are Dead,1990,https://boxd.it/hBia1,3.5,,"other, dvd",2017-06-02
2017-06-03,Alien: Covenant,2017,https://boxd.it/hBLDL,3.5,,"theatre, cobb",2017-06-02
2017-06-05,Guardians of the Galaxy,2014,https://boxd.it/hFfmB,4,Yes,"home, streaming",2017-06-04
2017-06-06,Trainspotting,1996,https://boxd.it/hGNBn,4.5,,"home, streaming",2017-06-05
2017-06-07,Captain Underpants: The First Epic Movie,2017,https://boxd.it/hHxvv,3,,"theatre, cobb",2017-06-06
2017-06-07,Coraline,2009,https://boxd.it/hHOOT,4,Yes,"home, streaming",2017-06-06
2017-06-08,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/hIV8d,3,Yes,"theatre, cobb",2017-06-07
2017-06-08,Moonrise Kingdom,2012,https://boxd.it/hJp4v,4.5,Yes,"home, streaming",2017-06-07
2017-06-09,It Comes at Night,2017,https://boxd.it/hKG9T,3.5,,"theatre, cobb",2017-06-08
2017-06-09,The Mummy,2017,https://boxd.it/hKNS7,1.5,,"theatre, cobb",2017-06-08
2017-06-10,Shimmer Lake,2017,https://boxd.it/hLcup,3,,"home, streaming",2017-06-09
2017-06-13,Anomalisa,2015,https://boxd.it/hOZBb,4.5,,"home, streaming",2017-06-12
2017-06-13,Pirates of the Caribbean: Dead Men Tell No Tales,2017,https://boxd.it/hPtB1,2.5,Yes,"theatre, cobb",2017-06-12
2017-06-14,It Comes at Night,2017,https://boxd.it/hQxiz,3.5,Yes,"theatre, cobb",2017-06-13
2017-06-16,The Lobster,2015,https://boxd.it/hS2lB,4.5,,"home, streaming",2017-06-14
2017-06-17,My Life as a Zucchini,2016,https://boxd.it/hTrOZ,4,,"other, streaming",2017-06-16
2017-06-17,Krisha,2015,https://boxd.it/hTTSZ,4.5,,"other, streaming",2017-06-16
2017-06-18,Ex Machina,2014,https://boxd.it/hV8Dd,4.5,,"other, streaming",2017-06-17
2017-06-19,Enemy,2013,https://boxd.it/hWoSv,4,,"home, streaming",2017-06-18
2017-06-22,Heavyweights,1995,https://boxd.it/i0sgN,2,,"other, streaming",2017-06-21
2017-06-22,Drive,2011,https://boxd.it/i15rF,5,,"home, streaming",2017-06-21
2017-06-24,Wakefield,2016,https://boxd.it/i3f1r,2,,"theatre, tampa theatre",2017-06-23
2017-06-25,Scott Pilgrim vs. the World,2010,https://boxd.it/i4yxj,4.5,,"home, streaming",2017-06-24
2017-06-27,Shaun of the Dead,2004,https://boxd.it/i6Uxf,4.5,,"home, streaming",2017-06-26
2017-06-29,Baby Driver,2017,https://boxd.it/i9xC3,4,,"theatre, cobb",2017-06-27
2017-06-29,Scott Pilgrim vs. the World,2010,https://boxd.it/ia48b,4.5,Yes,"home, streaming",2017-06-28
2017-07-03,The Beguiled,2017,https://boxd.it/ifto9,4,,"theatre, cobb",2017-07-02
2017-07-06,Baby Driver,2017,https://boxd.it/ikebp,4,Yes,"theatre, cobb",2017-07-05
2017-07-07,Spider-Man: Homecoming,2017,https://boxd.it/ilPcB,3,,"theatre, cobb",2017-07-06
2017-07-12,Rise of the Planet of the Apes,2011,https://boxd.it/itFoN,3.5,Yes,"home, streaming",2017-07-11
2017-07-14,Dawn of the Planet of the Apes,2014,https://boxd.it/ivL1z,3.5,,"home, streaming",2017-07-12
2017-07-14,War for the Planet of the Apes,2017,https://boxd.it/iwdOp,4,,"theatre, cobb",2017-07-13
2017-07-15,Spider-Man: Homecoming,2017,https://boxd.it/ixRcd,3,Yes,"theatre, cobb",2017-07-14
2017-07-16,The Big Sick,2017,https://boxd.it/izwJJ,4,,"theatre, cobb",2017-07-15
2017-07-17,Okja,2017,https://boxd.it/iAY1R,3.5,,"home, streaming",2017-07-16
2017-07-17,The Gift,2015,https://boxd.it/iBgz3,4,,"home, streaming",2017-07-16
2017-07-21,Dunkirk,2017,https://boxd.it/iGKNT,4,,"theatre, cobb, imax",2017-07-20
2017-07-22,The Prestige,2006,https://boxd.it/iIt63,4.5,,"home, streaming",2017-07-21
2017-07-24,The Room,2003,https://boxd.it/iLKsV,0.5,,"other, streaming",2017-07-23
2017-07-24,Baby Driver,2017,https://boxd.it/iMffj,4,Yes,"theatre, cobb",2017-07-23
2017-07-27,Dope,2015,https://boxd.it/iQ6Jx,4,,"home, streaming",2017-07-26
2017-07-28,Dunkirk,2017,https://boxd.it/iRUsN,4,Yes,"theatre, cobb",2017-07-26
2017-08-04,Baby Driver,2017,https://boxd.it/j4g0l,4,Yes,"theatre, cobb",2017-08-03
2017-08-04,Baby Driver,2017,https://boxd.it/j4s2t,4,Yes,"theatre, cobb",2017-08-03
2017-08-10,Bronson,2008,https://boxd.it/jcB1Z,4,,"other, streaming",2017-08-09
2017-08-18,Moana,2016,https://boxd.it/joqFX,3.5,Yes,other,2017-08-17
2017-08-20,A Ghost Story,2017,https://boxd.it/jrzrr,4.5,,"theatre, polk",2017-08-19
2017-08-21,The Hateful Eight,2015,https://boxd.it/jsa53,4,,"home, streaming",2017-08-20
2017-08-21,Logan Lucky,2017,https://boxd.it/jsFDF,3,,"theatre, cobb",2017-08-20
