"Name","Year","Rating","Tags","Watched.Date","Average.Rating","Runtime","Genre","Director","Actor","Writer","Editor","Cinematographer","Composer","Producer","Studio","Country","Language"
"Paths of Glory",1957,5,"blu-ray","2018-05-10",4.34,88,"drama","Stanley Kubrick","Kirk Douglas","Stanley Kubrick","Eva Kroll","Georg Krause","Gerald Fried","Stanley Kubrick","United Artists","USA","English"
"There Will Be Blood",2007,5,"streaming","2018-05-13",4.39,158,"drama","Paul Thomas Anderson","Daniel Day-Lewis","Paul Thomas Anderson","Dylan Tichenor","Robert Elswit","Jonny Greenwood","Scott Rudin","Paramount Vantage","USA","English"
"Tully",2018,3.5,"theatre","2018-05-16",3.58,96,"drama","Jason Reitman","Charlize Theron","Diablo Cody","Stefan Grube","Eric Steelberg","Rob Simonsen","Charlize Theron","Focus Features","Canada","English"
"Deadpool",2016,3,"streaming","2018-05-18",3.67,108,"Genre Films","Tim Miller","Ryan Reynolds","Rhett Reese","Julian Clarke","Ken Seng","Junkie XL","Lauren Shuler Donner","20th Century Fox","USA","English"
"Deadpool 2",2018,3,"theatre","2018-05-18",3.49,119,"Genre Films","David Leitch","Ryan Reynolds","Rhett Reese","Michael McCusker","Jonathan Sela","Tyler Bates","Lauren Shuler Donner","Marvel Entertainment","Canada","English"
"Fargo",1996,4,"streaming","2018-05-22",4.21,98,"drama","Joel Coen","Frances McDormand","Joel Coen","Joel Coen","Roger Deakins","Carter Burwell","Joel Coen","PolyGram Filmed Entertainment","UK","English"
"Napoleon Dynamite",2004,3.5,"streaming","2018-05-26",3.59,95,"comedy","Jared Hess","Jon Heder","Jared Hess","Jeremy Coon","Munn Powell","John Swihart","Sean Covel","MTV Films","USA","English"
"Wayne's World",1992,3,"streaming","2018-05-26",3.54,95,"music","Penelope Spheeris","Mike Myers","Mike Myers","Malcolm Campbell","Theo van de Sande","J. Peter Robinson","Hawk Koch","Paramount","USA","English"
"Night at the Museum",2006,2.5,"streaming","2018-05-26",3.08,108,"adventure","Shawn Levy","Ben Stiller","Thomas Lennon","Don Zimmerman","Guillermo Navarro","Alan Silvestri","Chris Columbus","1492 Pictures","USA","English"
"The Hangover",2009,3,"streaming","2018-05-26",3.43,100,"comedy","Todd Phillips","Bradley Cooper","Jon Lucas","Debra Neil-Fisher","Lawrence Sher","Christophe Beck","Chris Bender","Legendary Pictures","Germany","English"
"Solo: A Star Wars Story",2018,3,"theatre","2018-05-27",3,135,"crime","Ron Howard","Alden Ehrenreich","Lawrence Kasdan","Pietro Scalia","Bradford Young","John Powell","Kathleen Kennedy","Lucasfilm Ltd.","USA","English"
"There Will Be Blood",2007,5,"streaming","2018-05-29",4.39,158,"drama","Paul Thomas Anderson","Daniel Day-Lewis","Paul Thomas Anderson","Dylan Tichenor","Robert Elswit","Jonny Greenwood","Scott Rudin","Paramount Vantage","USA","English"
"Half Nelson",2006,2.5,"streaming","2018-05-30",3.54,107,"drama","Ryan Fleck","Ryan Gosling","Ryan Fleck","Anna Boden","Andrij Parekh","Broken Social Scene","Paul S. Mezey","Hunting Lane Films","USA","English"
"The Incredibles",2004,4.5,"","2018-06-07",4.08,115,"animation","Brad Bird","Craig T. Nelson","Brad Bird","Stephen Schaffer","Patrick Lin","Michael Giacchino","John Lasseter","Pixar","USA","English"
"A Serious Man",2009,4,"streaming","2018-06-07",3.83,106,"comedy","Joel Coen","Michael Stuhlbarg","Joel Coen","Joel Coen","Roger Deakins","Carter Burwell","Joel Coen","Mike Zoss Productions","USA","English"
"Hereditary",2018,4.5,"theatre","2018-06-08",4,127,"thriller","Ari Aster","Toni Collette","Ari Aster","Jennifer Lame","Pawel Pogorzelski","Colin Stetson","Toni Collette","PalmStar Media","USA","English"
"Hereditary",2018,4.5,"theatre","2018-06-09",4,127,"thriller","Ari Aster","Toni Collette","Ari Aster","Jennifer Lame","Pawel Pogorzelski","Colin Stetson","Toni Collette","PalmStar Media","USA","English"
"We Need to Talk About Kevin",2011,4,"streaming","2018-06-13",3.86,113,"thriller","Lynne Ramsay","Tilda Swinton","Lynne Ramsay","Joe Bini","Seamus McGarvey","Jonny Greenwood","Steven Soderbergh","BBC Films","UK","English"
"Bao",2018,NA,"","2018-06-14",3.87,8,"fantasy","Domee Shi","Daniel Kailin","Domee Shi","Katherine Ringgold","Patrick Lin","Toby Chu","John Lasseter","Pixar","Canada","English"
"Incredibles 2",2018,3.5,"theatre","2018-06-14",3.54,118,"animation","Brad Bird","Craig T. Nelson","Brad Bird","Stephen Schaffer","Erik Smitt","Michael Giacchino","John Lasseter","Walt Disney Pictures","USA","English"
