"Name","Year","Rating","Tags","Watched.Date","Average.Rating","Runtime","Genre","Director","Actor","Writer","Editor","Cinematographer","Composer","Producer","Studio","Country","Language"
"The Da Vinci Code",2006,2.5,"","2016-10-29",2.98,149,"mystery","Ron Howard","Tom Hanks","Akiva Goldsman","Daniel P. Hanley","Salvatore Totino","Hans Zimmer","Brian Grazer","Imagine Entertainment","USA","English"
"Bernie",2011,3.5,"","2016-10-29",3.47,99,"comedy","Richard Linklater","Jack Black","Richard Linklater","Sandra Adair","Dick Pope","Graham Reynolds","Ginger Sledge","Mandalay Vision","USA","English"
"The Texas Chain Saw Massacre",1974,4,"","2016-10-31",3.91,83,"horror","Tobe Hooper","Marilyn Burns","Tobe Hooper","J. Larry Carroll","Daniel Pearl","Tobe Hooper","Tobe Hooper","Vortex","USA","English"
"Doctor Strange",2016,3.5,"","2016-11-03",3.48,115,"fantasy","Scott Derrickson","Benedict Cumberbatch","Scott Derrickson","Sabrina Plisco","Ben Davis","Michael Giacchino","Stan Lee","Marvel Studios","USA","English"
"Bernie",2011,3.5,"","2016-11-11",3.47,99,"comedy","Richard Linklater","Jack Black","Richard Linklater","Sandra Adair","Dick Pope","Graham Reynolds","Ginger Sledge","Mandalay Vision","USA","English"
"Only God Forgives",2013,4,"","2016-11-12",3.04,90,"crime","Nicolas Winding Refn","Ryan Gosling","Nicolas Winding Refn","Matthew Newman","Larry Smith","Cliff Martinez","Vincent Maraval","Wild Bunch","Denmark","English"
"Before the Flood",2016,NA,"","2016-11-16",3.77,93,"documentary","Fisher Stevens","Leonardo DiCaprio","Mark Monroe","Geoffrey Richman","Antonio Rossi","Gustavo Santaolalla","Martin Scorsese","RatPac Documentary Films","USA","English"
"Fantastic Beasts and Where to Find Them",2016,2.5,"","2016-11-18",3.2,132,"fantasy","David Yates","Eddie Redmayne","J.K. Rowling","Mark Day","Philippe Rousselot","James Newton Howard","J.K. Rowling","Heyday Films","UK","English"
"Casino Royale",2006,4,"","2016-11-19",3.92,144,"action","Martin Campbell","Daniel Craig","Paul Haggis","Stuart Baird","Phil Meheux","David Arnold","Barbara Broccoli","Eon Productions","Bahamas","English"
"Arrival",2016,4.5,"","2016-11-20",4.08,116,"drama","Denis Villeneuve","Amy Adams","Eric Heisserer","Joe Walker","Bradford Young","Jóhann Jóhannsson","Aaron Ryder","FilmNation Entertainment","USA","English"
"Sausage Party",2016,3,"","2016-11-21",2.4,89,"fantasy","Conrad Vernon","Seth Rogen","Jonah Hill","Kevin Pavlovic",NA,"Alan Menken","Conrad Vernon","Columbia Pictures","Canada","English"
"Moonlight",2016,5,"","2016-11-22",4.21,111,"drama","Barry Jenkins","Trevante Rhodes","Barry Jenkins","Nat Sanders","James Laxton","Nicholas Britell","Brad Pitt","A24","UK","English"
"Don't Breathe",2016,3.5,"","2016-11-23",3.39,89,"horror","Fede Alvarez","Stephen Lang","Fede Alvarez","Eric L. Beason","Pedro Luque","Roque Baños","Sam Raimi","Screen Gems","USA","English"
"Arrival",2016,4.5,"","2016-11-24",4.08,116,"drama","Denis Villeneuve","Amy Adams","Eric Heisserer","Joe Walker","Bradford Young","Jóhann Jóhannsson","Aaron Ryder","FilmNation Entertainment","USA","English"
"Short Term 12",2013,4.5,"","2016-11-25",4.11,96,"drama","Destin Daniel Cretton","Brie Larson","Destin Daniel Cretton","Nat Sanders","Brett Pawlak","Joel P. West","Joshua Astrachan","Traction Media","USA","English"
"Allied",2016,3.5,"","2016-11-28",3.19,124,"drama","Robert Zemeckis","Brad Pitt","Steven Knight","Mick Audsley","Don Burgess","Alan Silvestri","Robert Zemeckis","Paramount","UK","English"
"Fight Club",1999,5,"","2016-11-29",4.26,139,"drama","David Fincher","Edward Norton","Chuck Palahniuk","James Haygood","Jeff Cronenweth","John King","Arnon Milchan","Regency Enterprises","Germany","English"
"Donnie Darko",2001,5,"","2016-11-30",3.94,114,"mystery","Richard Kelly","Jake Gyllenhaal","Richard Kelly","Sam Bauer","Steven Poster","Michael Andrews","Aaron Ryder","Flower Films","USA","English"
"Birdman or (The Unexpected Virtue of Ignorance)",2014,5,"","2016-12-01",3.92,120,"comedy","Alejandro González Iñárritu","Michael Keaton","Alejandro González Iñárritu","Stephen Mirrione","Emmanuel Lubezki","Antonio Sánchez","Alejandro González Iñárritu","TSG Entertainment","USA","English"
"The Silence of the Lambs",1991,5,"","2016-12-02",4.31,119,"thriller","Jonathan Demme","Jodie Foster","Thomas Harris","Craig McKay","Tak Fujimoto","Howard Shore","Ronald M. Bozman","Orion Pictures","USA","English"
"Moana",2016,3.5,"","2016-12-03",3.77,107,"comedy","Ron Clements","Auli'i Cravalho","Ron Clements","Jeff Draheim",NA,"Mark Mancina","John Lasseter","Walt Disney Pictures","USA","English"
"Bad Moms",2016,1,"","2016-12-10",2.82,100,"comedy","Jon Lucas","Mila Kunis","Jon Lucas","Emma E. Hickox","Jim Denault","Christopher Lennertz","Suzanne Todd","STX Entertainment","USA","English"
"Rogue One: A Star Wars Story",2016,3.5,"","2016-12-15",3.62,133,"action","Gareth Edwards","Felicity Jones","Chris Weitz","Jabez Olssen","Greig Fraser","Michael Giacchino","Kathleen Kennedy","Lucasfilm Ltd.","USA","English"
"Moana",2016,3.5,"","2016-12-17",3.77,107,"comedy","Ron Clements","Auli'i Cravalho","Ron Clements","Jeff Draheim",NA,"Mark Mancina","John Lasseter","Walt Disney Pictures","USA","English"
"Nocturnal Animals",2016,4.5,"","2016-12-20",3.76,116,"drama","Tom Ford","Amy Adams","Tom Ford","Joan Sobel","Seamus McGarvey","Abel Korzeniowski","Robert Salerno","Universal Pictures","USA","English"
"Passengers",2016,2.5,"","2016-12-21",2.81,116,"drama","Morten Tyldum","Jennifer Lawrence","Jon Spaihts","Maryann Brandon","Rodrigo Prieto","Thomas Newman","Bruce Berman","Wanda Pictures","USA","English"
"Manchester by the Sea",2016,5,"","2016-12-24",4,138,"drama","Kenneth Lonergan","Casey Affleck","Kenneth Lonergan","Jennifer Lame","Jody Lee Lipes","Lesley Barber","Matt Damon","Pearl Street Films","USA","English"
"Why Him?",2016,2,"","2016-12-27",2.62,111,"comedy","John Hamburg","Bryan Cranston","John Hamburg","William Kerr","Kris Kachikis","Theodore Shapiro","Georgia Kacandes","21 Laps Entertainment","USA","English"
"The Angry Birds Movie",2016,2.5,"","2016-12-27",2.47,97,"comedy","Fergal Reilly","Jason Sudeikis","Jon Vitti","Kent Beyda",NA,"Heitor Pereira","David Maisel","Columbia Pictures","Finland","English"
"Bee Movie",2007,2.5,"","2017-01-01",2.74,91,"family","Steve Hickner","Jerry Seinfeld","Jerry Seinfeld","Nick Fletcher","David C. Lawson","Rupert Gregson-Williams","Christina Steinberg","Columbus 81 Productions","USA","English"
"Fences",2016,4.5,"","2017-01-02",3.54,139,"drama","Denzel Washington","Denzel Washington","August Wilson","Hughes Winborne","Charlotte Bruus Christensen","Marcelo Zarvos","Scott Rudin","Paramount","Canada","English"
"Office Christmas Party",2016,1.5,"","2017-01-04",2.51,105,"comedy","Josh Gordon","Jason Bateman","Dan Mazer","Jeff Groth","Jeff Cutter","Theodore Shapiro","Scott Stuber","Bluegrass Films","USA","English"
"E.T. the Extra-Terrestrial",1982,4,"","2017-01-05",3.85,115,"family","Steven Spielberg","Henry Thomas","Melissa Mathison","Carol Littleton","Allen Daviau","John Williams","Steven Spielberg","Universal Pictures","USA","English"
"Flubber",1997,3,"","2017-01-05",2.48,93,"family","Les Mayfield","Robin Williams","Bill Walsh","Michael A. Stevenson","Dean Cundey","Danny Elfman","John Hughes","Walt Disney Pictures","USA","English"
"What's Eating Gilbert Grape",1993,4,"","2017-01-06",3.77,118,"romance","Lasse Hallström","Johnny Depp","Peter Hedges","Andrew Mondshein","Sven Nykvist","Björn Isfält","Alan C. Blomquist","Paramount","USA","English"
"La La Land",2016,5,"","2017-01-07",3.93,129,"music","Damien Chazelle","Ryan Gosling","Damien Chazelle","Tom Cross","Linus Sandgren","Justin Hurwitz","Gary Gilbert","Summit Entertainment","USA","English"
"Silence",2016,4.5,"","2017-01-13",3.82,161,"history","Martin Scorsese","Andrew Garfield","Martin Scorsese","Thelma Schoonmaker","Rodrigo Prieto","Kathryn Kluge","Martin Scorsese","Waypoint Entertainment","Mexico","English"
"La La Land",2016,5,"","2017-01-14",3.93,129,"music","Damien Chazelle","Ryan Gosling","Damien Chazelle","Tom Cross","Linus Sandgren","Justin Hurwitz","Gary Gilbert","Summit Entertainment","USA","English"
"Whiplash",2014,5,"","2017-01-15",4.35,107,"drama","Damien Chazelle","Miles Teller","Damien Chazelle","Tom Cross","Sharone Meir","Justin Hurwitz","Jeffrey Stott","Bold Films","USA","English"
"Rogue One: A Star Wars Story",2016,3.5,"","2017-01-16",3.62,133,"action","Gareth Edwards","Felicity Jones","Chris Weitz","Jabez Olssen","Greig Fraser","Michael Giacchino","Kathleen Kennedy","Lucasfilm Ltd.","USA","English"
"La La Land",2016,5,"","2017-01-16",3.93,129,"music","Damien Chazelle","Ryan Gosling","Damien Chazelle","Tom Cross","Linus Sandgren","Justin Hurwitz","Gary Gilbert","Summit Entertainment","USA","English"
"Split",2016,3,"","2017-01-21",3.5,117,"horror","M. Night Shyamalan","James McAvoy","M. Night Shyamalan","Luke Ciarrocchi","Mike Gioulakis","West Dylan Thordson","M. Night Shyamalan","Universal Pictures","USA","English"
"Unbreakable",2000,4.5,"","2017-01-21",3.67,106,"thriller","M. Night Shyamalan","Bruce Willis","M. Night Shyamalan","Dylan Tichenor","Eduardo Serra","James Newton Howard","Sam Mercer","Limited Edition Productions Inc.","USA","English"
"The Shining",1980,5,"","2017-01-28",4.29,144,"horror","Stanley Kubrick","Jack Nicholson","Stanley Kubrick","Ray Lovejoy","John Alcott","Wendy Carlos","Stanley Kubrick","Hawk Films","USA","English"
"The Founder",2016,3.5,"","2017-02-04",3.33,115,"drama","John Lee Hancock","Michael Keaton","Robert D. Siegel","Robert Frazen","John Schwartzman","Carter Burwell","Aaron Ryder","Speedie Distribution","USA","English"
"Hidden Figures",2016,3,"","2017-02-04",3.82,127,"drama","Theodore Melfi","Taraji P. Henson","Allison Schroeder","Peter Teschner","Mandy Walker","Hans Zimmer","Donna Gigliotti","Fox 2000 Pictures","USA","English"
"The Lego Movie",2014,4,"","2017-02-10",3.76,100,"comedy","Phil Lord","Chris Pratt","Phil Lord","David Burrows","Barry Peterson","Mark Mothersbaugh","Bruce Berman","Warner Bros. Pictures","Australia","English"
"The Lego Batman Movie",2017,3.5,"","2017-02-15",3.59,104,"action","Chris McKay","Will Arnett","Jared Stern","John Venzon",NA,"Lorne Balfe","Michael Uslan","Lin Pictures","Denmark","English"
"The Lego Batman Movie",2017,3.5,"","2017-02-18",3.59,104,"action","Chris McKay","Will Arnett","Jared Stern","John Venzon",NA,"Lorne Balfe","Michael Uslan","Lin Pictures","Denmark","English"
"Oldboy",2003,5,"","2017-02-18",4.31,120,"drama","Park Chan-wook","Choi Min-sik","Park Chan-wook","Kim Sang-bum","Jeong Jeong-hun","Choi Seung-hyun","Syd Lim","Show East","South Korea","Korean"
"Get Out",2017,4.5,"","2017-02-25",4.17,104,"thriller","Jordan Peele","Daniel Kaluuya","Jordan Peele","Gregory Plotkin","Denson Baker","Michael Abels","Sean McKittrick","Monkeypaw Productions","USA","English"
"Logan",2017,4,"","2017-03-02",4.05,137,"Genre Films","James Mangold","Hugh Jackman","James Mangold","Michael McCusker","John Mathieson","Marco Beltrami","James Mangold","20th Century Fox","USA","English"
"Get Out",2017,4.5,"","2017-03-13",4.17,104,"thriller","Jordan Peele","Daniel Kaluuya","Jordan Peele","Gregory Plotkin","Denson Baker","Michael Abels","Sean McKittrick","Monkeypaw Productions","USA","English"
"Logan",2017,4,"","2017-03-15",4.05,137,"Genre Films","James Mangold","Hugh Jackman","James Mangold","Michael McCusker","John Mathieson","Marco Beltrami","James Mangold","20th Century Fox","USA","English"
"Beauty and the Beast",2017,2.5,"","2017-03-17",3.11,129,"family","Bill Condon","Emma Watson","Stephen Chbosky","Virginia Katz","Tobias A. Schliessler","Alan Menken","Don Hahn","Walt Disney Pictures","USA","English"
"Doctor Strange",2016,3.5,"","2017-03-20",3.48,115,"fantasy","Scott Derrickson","Benedict Cumberbatch","Scott Derrickson","Sabrina Plisco","Ben Davis","Michael Giacchino","Stan Lee","Marvel Studios","USA","English"
"Nocturnal Animals",2016,4.5,"","2017-03-24",3.76,116,"drama","Tom Ford","Amy Adams","Tom Ford","Joan Sobel","Seamus McGarvey","Abel Korzeniowski","Robert Salerno","Universal Pictures","USA","English"
"What Dreams May Come",1998,2.5,"","2017-03-30",3.25,113,"romance","Vincent Ward","Robin Williams","Ronald Bass","David Brenner","Eduardo Serra","Michael Kamen","Ronald Bass","PolyGram Filmed Entertainment","USA","English"
"The Belko Experiment",2016,2.5,"","2017-03-30",2.83,89,"horror","Greg McLean","John Gallagher Jr.","James Gunn","Julia Wong","Luis David Sansans","Tyler Bates","James Gunn","Orion Pictures","USA","English"
"Life",2017,2,"theatre","2017-04-04",3,104,"science-fiction","Daniel Espinosa","Jake Gyllenhaal","Rhett Reese","Mary Jo Markey","Seamus McGarvey","Jon Ekstrand","Bonnie Curtis","Columbia Pictures","USA","English"
"Ghost in the Shell",2017,3,"theatre","2017-04-06",2.66,107,"action","Rupert Sanders","Scarlett Johansson","Ehren Kruger","Neil Smith","Jess Hall","Clint Mansell","Avi Arad","Weying Galaxy Entertainment","Australia","English"
"The Assignment",2016,0.5,"streaming","2017-04-11",1.94,95,"action","Walter Hill","Michelle Rodriguez","Walter Hill","Phil Norden","James Liston","Giorgio Moroder","Harvey Kahn","SBS Films","Canada","English"
"Gifted",2017,3.5,"theatre","2017-04-14",3.67,101,"drama","Marc Webb","Chris Evans","Tom Flynn","Bill Pankow","Stuart Dryburgh","Rob Simonsen","Andy Cohen","Grade A Entertainment","USA","English"
"One Flew Over the Cuckoo's Nest",1975,5,"streaming","2017-04-15",4.28,133,"drama","Miloš Forman","Jack Nicholson","Bo Goldman","Lynzee Klingman","Haskell Wexler","Jack Nitzsche","Saul Zaentz","Fantasy Films","USA","English"
"Mindwalk",1990,3,"dvd","2017-04-18",3.56,111,"drama","Bernt Amadeus Capra","Liv Ullmann","Bernt Amadeus Capra","Jean-Claude Piroué","Karl Kases","Philip Glass","Faramarz Ettehadieh","Mindwalk","Austria","English"
"Free Fire",2016,3,"theatre","2017-04-22",3.2,90,"mystery","Ben Wheatley","Brie Larson","Ben Wheatley","Ben Wheatley","Laurie Rose","Geoff Barrow","Martin Scorsese","Rook Films","UK","English"
"King Arthur: Legend of the Sword",2017,1,"theatre","2017-04-27",2.81,126,"drama","Guy Ritchie","Charlie Hunnam","Guy Ritchie","James Herbert","John Mathieson","Daniel Pemberton","Guy Ritchie","Village Roadshow Pictures","USA","English"
"Guardians of the Galaxy",2014,4,"streaming","2017-04-28",3.82,121,"adventure","James Gunn","Chris Pratt","James Gunn","Craig Wood","Ben Davis","Tyler Bates","Stan Lee","Marvel Studios","USA","English"
"The Martian",2015,3.5,"dvd","2017-05-01",3.72,144,"Genre Films","Ridley Scott","Matt Damon","Drew Goddard","Pietro Scalia","Dariusz Wolski","Harry Gregson-Williams","Ridley Scott","Scott Free Productions","UK","English"
"The Lost City of Z",2016,4,"theatre","2017-05-03",3.37,141,"drama","James Gray","Charlie Hunnam","James Gray","John Axelrad","Darius Khondji","Christopher Spelman","Brad Pitt","Northern Ireland Screen","UK","English"
"Super",2010,3,"streaming","2017-05-04",3.25,96,"action","James Gunn","Rainn Wilson","James Gunn","Cara Silverman","Steve Gainer","Tyler Bates","Ted Hope","This Is That Productions","USA","English"
"Guardians of the Galaxy Vol. 2",2017,3,"theatre","2017-05-04",3.55,137,"science-fiction","James Gunn","Chris Pratt","James Gunn","Craig Wood","Henry Braham","Tyler Bates","Stan Lee","Marvel Studios","USA","English"
"Megamind",2010,3.5,"","2017-05-06",3.48,96,"comedy","Tom McGrath","Will Ferrell","Alan J. Schoolcraft","Michael Andrews",NA,"Hans Zimmer","Ben Stiller","DreamWorks Animation","USA","English"
"Forrest Gump",1994,4,"","2017-05-09",4.11,142,"romance","Robert Zemeckis","Tom Hanks","Winston Groom","Arthur Schmidt","Don Burgess","Alan Silvestri","Wendy Finerman","Paramount","USA","English"
"Hidden Figures",2016,3,"theatre","2017-05-11",3.82,127,"drama","Theodore Melfi","Taraji P. Henson","Allison Schroeder","Peter Teschner","Mandy Walker","Hans Zimmer","Donna Gigliotti","Fox 2000 Pictures","USA","English"
"Memento",2000,5,"streaming","2017-05-11",4.12,113,"thriller","Christopher Nolan","Guy Pearce","Christopher Nolan","Dody Dorn","Wally Pfister","David Julyan","Jennifer Todd","Summit Entertainment","USA","English"
"The Wall",2017,3,"theatre","2017-05-13",2.96,90,"drama","Doug Liman","Aaron Taylor-Johnson","Dwain Worrell","Julia Bloch","Roman Vasyanov",NA,"Ray Angelic","Big Indie Pictures","USA","English"
"Alien",1979,4,"streaming","2017-05-17",4.29,117,"science-fiction","Ridley Scott","Sigourney Weaver","Dan O'Bannon","Terry Rawlings","Derek Vanlint","Jerry Goldsmith","David Giler","Brandywine Productions","USA","English"
"Prometheus",2012,3,"streaming","2017-05-21",3.17,124,"science-fiction","Ridley Scott","Noomi Rapace","Damon Lindelof","Pietro Scalia","Dariusz Wolski","Marc Streitenfeld","Ridley Scott","Dune Entertainment","UK","English"
"The Witness",2015,NA,"","2017-05-24",3.49,86,"documentary","James Solomon","William Genovese","James D. Solomon",NA,NA,NA,NA,"Five More Minutes Productions","USA","English"
"Pirates of the Caribbean: Dead Men Tell No Tales",2017,2.5,"theatre","2017-05-25",2.61,129,"adventure","Joachim Rønning","Johnny Depp","Terry Rossio","Roger Barton","Paul Cameron","Geoff Zanelli","Jerry Bruckheimer","Walt Disney Pictures","USA","English"
"Get Out",2017,4.5,"streaming","2017-05-26",4.17,104,"thriller","Jordan Peele","Daniel Kaluuya","Jordan Peele","Gregory Plotkin","Denson Baker","Michael Abels","Sean McKittrick","Monkeypaw Productions","USA","English"
"John Wick",2014,4,"streaming","2017-05-27",3.8,101,"thriller","Chad Stahelski","Keanu Reeves","Derek Kolstad","Elísabet Ronaldsdóttir","Jonathan Sela","Tyler Bates","Keanu Reeves","Summit Entertainment","USA","English"
"La La Land",2016,5,"streaming","2017-05-28",3.93,129,"music","Damien Chazelle","Ryan Gosling","Damien Chazelle","Tom Cross","Linus Sandgren","Justin Hurwitz","Gary Gilbert","Summit Entertainment","USA","English"
"John Wick: Chapter 2",2017,4,"streaming","2017-05-29",3.69,122,"thriller","Chad Stahelski","Keanu Reeves","Derek Kolstad","Evan Schiff","Dan Laustsen","Tyler Bates","Robert Bernacchi","Thunder Road","USA","English"
"Falling Leaves",1912,NA,"","2017-05-30",3.51,12,"drama","Alice Guy-Blaché","Mace Greenleaf",NA,NA,NA,NA,NA,"Solax Film Company","USA","English"
"Watchmen",2009,4,"streaming","2017-05-30",3.56,163,"action","Zack Snyder","Malin Åkerman","Alan Moore","William Hoy","Larry Fong","Tyler Bates","Lawrence Gordon","DC Comics","USA","English"
"The General",1926,4.5,"streaming","2017-05-31",4.13,79,"comedy","Buster Keaton","Buster Keaton","Buster Keaton","Buster Keaton","Bert Haines",NA,"Buster Keaton","Joseph M. Schenck Productions","USA","English"
"Wonder Woman",2017,2.5,"theatre","2017-06-01",3.45,141,"adventure","Patty Jenkins","Gal Gadot","Zack Snyder","Martin Walsh","Matthew Jensen","Rupert Gregson-Williams","Charles Roven","Atlas Entertainment","USA","English"
"Rosencrantz & Guildenstern Are Dead",1990,3.5,"dvd","2017-06-02",3.67,117,"drama","Tom Stoppard","Gary Oldman","Tom Stoppard","Nicolas Gaster","Peter Biziou","Stanley Myers","Michael Brandman","Thirteen","UK","English"
"Alien: Covenant",2017,3.5,"theatre","2017-06-02",2.91,122,"horror","Ridley Scott","Michael Fassbender","John Logan","Pietro Scalia","Dariusz Wolski","Jed Kurzel","Ridley Scott","Scott Free Productions","Australia","English"
"Guardians of the Galaxy",2014,4,"streaming","2017-06-04",3.82,121,"adventure","James Gunn","Chris Pratt","James Gunn","Craig Wood","Ben Davis","Tyler Bates","Stan Lee","Marvel Studios","USA","English"
"Trainspotting",1996,4.5,"streaming","2017-06-05",4.13,94,"crime","Danny Boyle","Ewan McGregor","Irvine Welsh","Masahiro Hirakubo","Brian Tufano",NA,"Andrew Macdonald","Channel Four Films","UK","English"
"Captain Underpants: The First Epic Movie",2017,3,"theatre","2017-06-06",3.06,89,"action","David Soren","Kevin Hart","Nicholas Stoller","Matt Landon","Damon O'Beirne","Theodore Shapiro","Mireille Soria","DreamWorks Animation","USA","English"
"Coraline",2009,4,"streaming","2017-06-06",4.07,100,"family","Henry Selick","Dakota Fanning","Neil Gaiman","Ronald Sanders","Pete Kozachik","Bruno Coulais","Harry Linden","Focus Features","USA","English"
"Guardians of the Galaxy Vol. 2",2017,3,"theatre","2017-06-07",3.55,137,"science-fiction","James Gunn","Chris Pratt","James Gunn","Craig Wood","Henry Braham","Tyler Bates","Stan Lee","Marvel Studios","USA","English"
"Moonrise Kingdom",2012,4.5,"streaming","2017-06-07",3.99,94,"comedy","Wes Anderson","Jared Gilman","Wes Anderson","Andrew Weisblum","Robert D. Yeoman","Alexandre Desplat","Scott Rudin","Focus Features","USA","English"
"It Comes at Night",2017,3.5,"theatre","2017-06-08",3.24,91,"horror","Trey Edward Shults","Kelvin Harrison Jr.","Trey Edward Shults","Matthew Hannam","Drew Daniels","Brian McOmber","Joel Edgerton","A24","USA","English"
"The Mummy",2017,1.5,"theatre","2017-06-08",1.99,110,"adventure","Alex Kurtzman","Tom Cruise","David Koepp","Paul Hirsch","Ben Seresin","Brian Tyler","Sarah Bradshaw","Secret Hideout","China","English"
"Shimmer Lake",2017,3,"streaming","2017-06-09",2.91,83,"crime","Oren Uziel","Rainn Wilson","Oren Uziel","Blake Maniquis","Jarin Blaschke","Joseph Trapanese","Adam Saunders","Footprint Features","Canada","English"
"Anomalisa",2015,4.5,"streaming","2017-06-12",3.79,90,"animation","Charlie Kaufman","David Thewlis","Charlie Kaufman","Garret Elkins","Joe Passarelli","Carter Burwell","Charlie Kaufman","Starburns Industries","USA","English"
"Pirates of the Caribbean: Dead Men Tell No Tales",2017,2.5,"theatre","2017-06-12",2.61,129,"adventure","Joachim Rønning","Johnny Depp","Terry Rossio","Roger Barton","Paul Cameron","Geoff Zanelli","Jerry Bruckheimer","Walt Disney Pictures","USA","English"
"It Comes at Night",2017,3.5,"theatre","2017-06-13",3.24,91,"horror","Trey Edward Shults","Kelvin Harrison Jr.","Trey Edward Shults","Matthew Hannam","Drew Daniels","Brian McOmber","Joel Edgerton","A24","USA","English"
"The Lobster",2015,4.5,"streaming","2017-06-14",3.79,118,"drama","Yorgos Lanthimos","Colin Farrell","Yorgos Lanthimos","Yorgos Mavropsaridis","Thimios Bakatakis",NA,"Tessa Ross","Scarlet Films","France","English"
"My Life as a Zucchini",2016,4,"streaming","2017-06-16",4.05,66,"animation","Claude Barras","Gaspard Schlatter","Céline Sciamma","Valentin Rotelli","David Toutevoix","Sophie Hunger","Michel Merkt","Gébéka Films","France","French"
"Krisha",2015,4.5,"streaming","2017-06-16",3.66,81,"drama","Trey Edward Shults","Krisha Fairchild","Trey Edward Shults","Trey Edward Shults","Drew Daniels","Brian McOmber","Trey Edward Shults","Hoody Boy Productions","USA","English"
"Ex Machina",2014,4.5,"streaming","2017-06-17",3.98,108,"drama","Alex Garland","Domhnall Gleeson","Alex Garland","Mark Day","Rob Hardy","Geoff Barrow","Tessa Ross","DNA Films","UK","English"
"Enemy",2013,4,"streaming","2017-06-18",3.68,91,"thriller","Denis Villeneuve","Jake Gyllenhaal","José Saramago","Matthew Hannam","Nicolas Bolduc","Saunder Jurriaans","Niv Fichman","Rhombus Media","Canada","English"
"Heavyweights",1995,2,"streaming","2017-06-21",3.23,100,"drama","Steven Brill","Ben Stiller","Steven Brill","Carroll Timothy O'Meara","Victor Hammer","J.A.C. Redford","Roger Birnbaum","Walt Disney Pictures","USA","English"
"Drive",2011,5,"streaming","2017-06-21",3.97,100,"thriller","Nicolas Winding Refn","Ryan Gosling","Hossein Amini","Matthew Newman","Newton Thomas Sigel","Cliff Martinez","Jeffrey Stott","FilmDistrict","USA","English"
"Wakefield",2016,2,"theatre","2017-06-23",3.05,106,"drama","Robin Swicord","Bryan Cranston","Robin Swicord","Matt Maddox","Andrei Bowden-Schwartz","Aaron Zigman","Bonnie Curtis","Mockingbird Pictures","USA","English"
"Scott Pilgrim vs. the World",2010,4.5,"streaming","2017-06-24",3.88,112,"romance","Edgar Wright","Michael Cera","Edgar Wright","Jonathan Amos","Bill Pope","Nigel Godrich","Edgar Wright","Universal Pictures","UK","English"
"Shaun of the Dead",2004,4.5,"streaming","2017-06-26",3.99,99,"comedy","Edgar Wright","Simon Pegg","Edgar Wright","Chris Dickens","David M. Dunlap","Dan Mudford","Natascha Wharton","De Wolfe Music","UK","English"
"Baby Driver",2017,4,"theatre","2017-06-27",3.79,113,"crime","Edgar Wright","Ansel Elgort","Edgar Wright","Jonathan Amos","Bill Pope","Steven Price","Tim Bevan","Big Talk Productions","UK","English"
"Scott Pilgrim vs. the World",2010,4.5,"streaming","2017-06-28",3.88,112,"romance","Edgar Wright","Michael Cera","Edgar Wright","Jonathan Amos","Bill Pope","Nigel Godrich","Edgar Wright","Universal Pictures","UK","English"
"The Beguiled",2017,4,"theatre","2017-07-02",3.29,93,"drama","Sofia Coppola","Colin Farrell","Sofia Coppola","Sarah Flack","Philippe Le Sourd","Thomas Mars","Fred Roos","FR Productions","USA","English"
"Baby Driver",2017,4,"theatre","2017-07-05",3.79,113,"crime","Edgar Wright","Ansel Elgort","Edgar Wright","Jonathan Amos","Bill Pope","Steven Price","Tim Bevan","Big Talk Productions","UK","English"
"Spider-Man: Homecoming",2017,3,"theatre","2017-07-06",3.63,133,"science-fiction","Jon Watts","Tom Holland","John Francis Daley","Dan Lebental","Salvatore Totino","Michael Giacchino","Stan Lee","Marvel Studios","USA","English"
"Rise of the Planet of the Apes",2011,3.5,"streaming","2017-07-11",3.56,105,"drama","Rupert Wyatt","James Franco","Rick Jaffa","Mark Goldblatt","Andrew Lesnie","Patrick Doyle","Rick Jaffa","Dune Entertainment III","USA","English"
"Dawn of the Planet of the Apes",2014,3.5,"streaming","2017-07-12",3.65,130,"drama","Matt Reeves","Andy Serkis","Mark Bomback","William Hoy","Michael Seresin","Michael Giacchino","Mark Bomback","TSG Entertainment","USA","English"
"War for the Planet of the Apes",2017,4,"theatre","2017-07-13",3.66,140,"drama","Matt Reeves","Andy Serkis","Pierre Boulle","William Hoy","Michael Seresin","Michael Giacchino","Rick Jaffa","20th Century Fox","Canada","English"
"Spider-Man: Homecoming",2017,3,"theatre","2017-07-14",3.63,133,"science-fiction","Jon Watts","Tom Holland","John Francis Daley","Dan Lebental","Salvatore Totino","Michael Giacchino","Stan Lee","Marvel Studios","USA","English"
"The Big Sick",2017,4,"theatre","2017-07-15",3.77,120,"comedy","Michael Showalter","Kumail Nanjiani","Kumail Nanjiani","Robert Nassau","Brian Burgoyne","Michael Andrews","Barry Mendel","Amazon Studios","USA","English"
"Okja",2017,3.5,"streaming","2017-07-16",3.68,122,"adventure","Bong Joon-ho","Ahn Seo-hyun","Bong Joon-ho","Yang Jin-Mo","Darius Khondji","Jung Jae-il","Brad Pitt","Kate Street Picture Company","South Korea","English"
"The Gift",2015,4,"streaming","2017-07-16",3.36,108,"mystery","Joel Edgerton","Jason Bateman","Joel Edgerton","Matt Chesse","Eduard Grau","Saunder Jurriaans","Luc Etienne","Blumhouse Productions","Australia","English"
